School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,29101,Sedro-Woolley School District,1537,State Street High School,159,159,0,0,0,0,0,0,0,0,0,0,0,3,21,39,96
2017,WA,39119,Selah School District,2388,Selah High School,"1,120","1,120",0,0,0,0,0,0,0,0,0,0,0,308,270,267,275
2017,WA,26070,Selkirk School District,5226,Selkirk High School,92,92,0,0,0,0,0,0,0,0,0,0,0,25,25,20,22
2017,WA,23309,Shelton School District,4363,Oakland Bay Junior High School,679,679,0,0,0,0,0,0,0,0,0,0,297,382,0,0,0
2017,WA,23309,Shelton School District,3241,Shelton High School,"1,078","1,078",0,0,0,0,0,0,0,0,0,0,0,0,385,365,328
2017,WA,17412,Shoreline School District,3343,Shorecrest High School,"1,409","1,409",0,0,0,0,0,0,0,0,0,0,0,376,343,351,339
2017,WA,17412,Shoreline School District,3921,Shorewood High School,"1,613","1,613",0,0,0,0,0,0,0,0,0,0,0,390,413,400,410
2017,WA,17404,Skykomish School District,2513,Skykomish High School,17,17,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3
2017,WA,31201,Snohomish School District,4265,AIM High School,140,140,0,0,0,0,0,0,0,0,0,0,0,4,9,40,87
2017,WA,31201,Snohomish School District,5128,Glacier Peak High School,"1,815","1,815",0,0,0,0,0,0,0,0,0,0,0,467,439,449,460
2017,WA,31201,Snohomish School District,3981,High School Re Entry,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
2017,WA,31201,Snohomish School District,2428,Snohomish High School,"1,692","1,692",0,0,0,0,0,0,0,0,0,0,0,389,449,421,433
2017,WA,17410,Snoqualmie Valley School District,2850,Mount Si High School,"1,830","1,830",0,0,0,0,0,0,0,0,0,0,1,450,476,432,471
2017,WA,13156,Soap Lake School District,1518,Smokiam Alternative High School,20,20,0,0,0,0,0,0,0,0,0,0,0,4,1,9,6
2017,WA,13156,Soap Lake School District,3089,Soap Lake Middle & High School,229,229,0,0,0,0,0,0,0,0,35,42,39,7,42,31,33
2017,WA,25118,South Bend School District,2214,South Bend High School,237,237,0,0,0,0,0,0,0,0,0,36,43,39,49,39,31
2017,WA,18402,South Kitsap School District,2272,South Kitsap High School,"2,303","2,300",3,1,0,3,0,1,2,0,2,3,2,270,719,683,614
2017,WA,15206,South Whidbey School District,4149,South Whidbey High School,455,455,0,0,0,0,0,0,0,0,0,0,0,119,112,103,121
2017,WA,32081,Spokane School District,3412,Ferris High School,"1,730","1,730",0,0,0,0,0,0,0,0,0,0,0,460,431,443,396
2017,WA,32081,Spokane School District,2172,Lewis & Clark High School,"1,883","1,883",0,0,0,0,0,0,0,0,0,0,0,490,479,483,431
2017,WA,32081,Spokane School District,2106,North Central High School,"1,489","1,489",0,0,0,0,0,0,0,0,0,58,53,399,372,295,312
2017,WA,32081,Spokane School District,2479,Rogers High School,"1,602","1,602",0,0,0,0,0,0,0,0,0,0,0,439,444,379,340
2017,WA,32081,Spokane School District,3189,Shadle Park High School,"1,343","1,343",0,0,0,0,0,0,0,0,0,0,0,349,353,339,302
2017,WA,22008,Sprague School District,2186,Sprague High School,30,30,0,0,0,0,0,0,0,0,0,0,0,9,9,6,6
2017,WA,31401,Stanwood-Camano School District,1707,Lincoln Hill High School,135,135,0,0,0,0,0,0,0,0,0,0,0,11,21,35,68
2017,WA,31401,Stanwood-Camano School District,2581,Stanwood High School,"1,382","1,382",0,0,0,0,0,0,0,0,0,0,0,340,342,330,370
2017,WA,30303,Stevenson-Carson School District,3119,Stevenson High School,322,322,0,0,0,0,0,0,0,0,0,0,0,73,86,78,85
2017,WA,31311,Sultan School District,4274,Sultan Senior High School,578,578,0,0,0,0,0,0,0,0,0,0,0,146,140,150,142
2017,WA,27320,Sumner School District,4585,Bonney Lake High School,"1,428","1,428",0,0,0,0,0,0,0,0,0,0,0,364,335,369,360
2017,WA,27320,Sumner School District,3247,Sumner High School,"1,872","1,872",0,0,0,0,0,0,0,0,0,0,0,432,494,477,469
2017,WA,39201,Sunnyside School District,2959,Sunnyside High School,"1,920","1,920",0,0,0,0,0,0,0,0,0,0,0,476,527,477,440
2017,WA,27010,Tacoma School District,4109,Oakland High School,219,219,0,0,0,0,0,0,0,0,0,0,0,14,37,64,104
2017,WA,14077,Taholah School District,3580,Taholah High School,62,62,0,0,0,0,0,0,0,0,0,0,0,11,15,14,22
2017,WA,17409,Tahoma School District,2849,Tahoma Senior High School,"1,827","1,827",0,0,0,0,0,0,0,0,0,0,0,0,622,625,580
